ticker,ff12,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason
BBBMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BBBXF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BCIC,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BCKIF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Engineering & Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BCSF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BCUCF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Cyclical,Luxury Goods,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
BCUFF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BDCTF,6,BusEq,secondary_yfinance,medium,resolved_missing_sic,Communication Services,Internet Content & Information,yfinance,"Yahoo industry indicates software, hardware, or online services."
BELGF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BEOB,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BEWFF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Communication Equipment,yfinance,Yahoo sector indicates business equipment or technology.
BFGFD,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BFGFF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BGAVF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BHSIF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BIREF,4,Enrgy,secondary_yfinance,high,resolved_missing_sic,Energy,Oil & Gas E&P,yfinance,Yahoo sector indicates energy.
BITTF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BJGPY,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Software - Application,yfinance,Yahoo sector indicates business equipment or technology.
BKLPF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Cyclical,Internet Retail,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
BKPKF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BKRRF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BKUCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Energy,Uranium,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BKZHF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BLFBY,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Engineering & Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BLHWF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Building Products & Equipment,yfinance,Yahoo industry indicates manufacturing or industrial materials.
BMM,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BMRPF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Discount Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
BMRRY,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Discount Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
BONXF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BOT,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BRELY,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BRKCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BRVMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BTDPF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Consumer Cyclical,Residential Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BTDPY,12,Other,secondary_yfinance,medium,resolved_missing_sic,Consumer Cyclical,Residential Construction,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
BTQ,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Software - Infrastructure,yfinance,Yahoo sector indicates business equipment or technology.
BUDA,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Beverages - Non-Alcoholic,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
BVAXF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Biotechnology,yfinance,Yahoo sector indicates healthcare.
BVENY,4,Enrgy,secondary_yfinance,high,resolved_missing_sic,Energy,Oil & Gas E&P,yfinance,Yahoo sector indicates energy.
BWAGF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
BYCBF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Confectioners,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
BYDDF,2,Durbl,secondary_yfinance,high,resolved_missing_sic,Consumer Cyclical,Auto Manufacturers,yfinance,Yahoo industry indicates durable consumer goods.
BYDIF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Electronic Components,yfinance,Yahoo sector indicates business equipment or technology.
BZDLF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CAHPF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CAMVF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CAZGF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Scientific & Technical Instruments,yfinance,Yahoo sector indicates business equipment or technology.
CCOOF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CDGLF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Railroads,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CDPMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CEHCF,4,Enrgy,secondary_yfinance,high,resolved_missing_sic,Energy,Oil & Gas Integrated,yfinance,Yahoo sector indicates energy.
CGBD,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CGDXF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CHLSY,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Confectioners,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
CHPGF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CHWRF,7,Telcm,secondary_yfinance,high,resolved_missing_sic,Communication Services,Telecom Services,yfinance,Yahoo industry indicates telecommunications.
CIB,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CION,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CITAF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
CIXPF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CKHGF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CLCHF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Steel,yfinance,Yahoo industry indicates manufacturing or industrial materials.
CLDVF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CMCLF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CMGHF,1,NoDur,secondary_yfinance,medium,resolved_missing_sic,Consumer Defensive,Farm Products,yfinance,Yahoo sector/industry indicates non-durable consumer goods.
CMGMF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
CMHSF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Health Information Services,yfinance,Yahoo sector indicates healthcare.
CMXHF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Biotechnology,yfinance,Yahoo sector indicates healthcare.
CNDHF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Insurance - Reinsurance,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CNRCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CNTMF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Drug Manufacturers - Specialty & Generic,yfinance,Yahoo sector indicates healthcare.
CODGF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Building Products & Equipment,yfinance,Yahoo industry indicates manufacturing or industrial materials.
COGDF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
COPAF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CPCPF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CPIVF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Drug Manufacturers - Specialty & Generic,yfinance,Yahoo sector indicates healthcare.
CPNNF,11,Money,secondary_yfinance,high,resolved_missing_sic,Real Estate,Real Estate - Diversified,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CPPKF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CPXWF,8,Utils,secondary_yfinance,high,resolved_missing_sic,Utilities,Utilities - Independent Power Producers,yfinance,Yahoo sector indicates utilities.
CRARF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CRERF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Grocery Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
CRRFY,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Grocery Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
CRUCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CSCCF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Copper,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CSLLY,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Biotechnology,yfinance,Yahoo sector indicates healthcare.
CSWC,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CUAUF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CVCCF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
CYATY,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Electrical Equipment & Parts,yfinance,Yahoo industry indicates manufacturing or industrial materials.
CYDVF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
CYJBF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Farm & Heavy Construction Machinery,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DETX,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Security & Protection Services,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DGCOF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DGMDF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Communication Services,Entertainment,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DGTEF,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
DINRF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Semiconductor Equipment & Materials,yfinance,Yahoo sector indicates business equipment or technology.
DISPF,6,BusEq,secondary_yfinance,high,resolved_missing_sic,Technology,Semiconductor Equipment & Materials,yfinance,Yahoo sector indicates business equipment or technology.
DKILF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Building Products & Equipment,yfinance,Yahoo industry indicates manufacturing or industrial materials.
DLAKF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Airlines,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DLAKY,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Airlines,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DLMAF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Discount Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
DLMAY,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Discount Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
DNACF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Conglomerates,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DNOPF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Defensive,Grocery Stores,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
DPCDF,9,Shops,secondary_yfinance,high,resolved_missing_sic,Consumer Cyclical,Restaurants,yfinance,"Yahoo industry indicates retail, restaurants, or wholesale shops."
DRRKF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Building Products & Equipment,yfinance,Yahoo industry indicates manufacturing or industrial materials.
DRSHF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Aerospace & Defense,yfinance,Yahoo industry indicates manufacturing or industrial materials.
DRYGF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DTREF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
DXR,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Medical Instruments & Supplies,yfinance,Yahoo sector indicates healthcare.
DXYZ,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EBOSF,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Medical Distribution,yfinance,Yahoo sector indicates healthcare.
EBOSY,10,Hlth,secondary_yfinance,high,resolved_missing_sic,Healthcare,Medical Distribution,yfinance,Yahoo sector indicates healthcare.
ECCC,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EDVR,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Banks - Regional,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EGTYF,3,Manuf,secondary_yfinance,medium,resolved_missing_sic,Industrials,Electrical Equipment & Parts,yfinance,Yahoo industry indicates manufacturing or industrial materials.
EIC,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EICA,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EJTTF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Airlines,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ELECF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ELEEF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Rental & Leasing Services,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
ELSSF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Industrials,Specialty Business Services,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
EMBYF,4,Enrgy,secondary_yfinance,high,resolved_missing_sic,Energy,Oil & Gas E&P,yfinance,Yahoo sector indicates energy.
EMGDF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Industrial Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
EMRH,5,Chems,secondary_yfinance,high,resolved_missing_sic,Basic Materials,Agricultural Inputs,yfinance,Yahoo industry indicates chemicals.
ENDMF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Other Precious Metals & Mining,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
EQS,11,Money,secondary_yfinance,high,resolved_missing_sic,Financial Services,Asset Management,yfinance,Yahoo sector/industry indicates finance or real-estate equity.
EQTRF,12,Other,secondary_yfinance,medium,resolved_missing_sic,Basic Materials,Gold,yfinance,Yahoo industry maps to FF12 Other rather than a missing-SIC fallback.
