match_field,match_value,override_decision,override_semantic_type,override_reason
symbol,ZHDM,exclude,shell_company,Yahoo industry or issuer name indicates a shell/SPAC-style issuer with no operating industry to map.
symbol,MSTR,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,SBET,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,DFDV,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,UPXI,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,BMNR,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,BTCS,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,SMLR,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,KULR,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,NAKA,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,MARA,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,RIOT,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,CLSK,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,CORZ,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,CIFR,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,WULF,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,HUT,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BITF,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,HIVE,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BTBT,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,IREN,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BTDR,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,CAN,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,EBON,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SOS,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,GREE,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SDIG,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,ARBK,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,DGHI,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,APLD,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,XXI,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ASST,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ZOOZ,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,EMPD,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,FLD,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,DDC,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,GDC,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,NXTT,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,USBC,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,AGPU,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,AVX,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,BNC,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,BNBX,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,BNKK,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,CNTN,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,CYPH,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ENLV,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,FGNX,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,FWDI,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,GAME,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,GNLN,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,HSDT,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,HYPD,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,IPST,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,LITS,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ORBS,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,SLMT,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,STKE,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,SUIG,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,TAOX,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,TONX,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,TRON,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,TWAV,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,VIVO,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,VVPR,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ZNB,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ZONE,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ZSTK,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,STSS,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,SKYA,exclude,crypto_treasury_proxy,Crypto treasury wrapper whose equity value anchor is the token holding rather than an operating enterprise; violates the iceberg-position root criterion.
symbol,ABTC,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,ABTS,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,AGMH,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,ANY,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BGDE,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BTCT,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,BTOG,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,CANG,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,DGXX,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,FUFU,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,GPUS,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,GREEL,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,ICG,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,KEEL,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,LMFA,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,NA,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,NCTY,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,NUAI,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SAIH,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SGLY,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SLAI,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
symbol,SLNH,exclude,crypto_mining_proxy,Crypto miner whose product is the pure-liquidity asset itself; equity trades as leveraged crypto beta; excluded per the iceberg-position root criterion.
